phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.2691083011,0.0000000000,,,,
main,1,yes,None,0.3084176571,0.0000000000,,,,
main,2,yes,None,0.3560752885,0.0000000000,,,,
main,3,yes,None,0.3681330632,0.0000000000,,,,
main,4,no,None,0.3644854842,0.0000000000,,,,
main,5,yes,None,0.3965397262,0.0000000000,,,,
lang,0,yes,None,,,0.0079741237,3.4663853715,3.4930874258,3.4956254999
lang,1,yes,None,,,0.9675006694,0.0000000018,0.6791799120,3.2886116974
lang,2,no,None,,,0.9640913207,0.0000000000,0.4373773093,3.1236495454
lang,3,no,None,,,0.9614050440,0.0000000000,0.2935580217,3.0488439524
lang,4,no,None,,,0.9589475242,0.0000000000,0.2631655393,3.0423988986
lang,5,yes,None,,,0.9676839790,0.0000000000,0.2098027725,2.9103508213
