phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.2691083011,0.0000000000,,,,
main,1,yes,None,0.7768211026,0.0000000000,,,,
main,2,yes,None,0.7954162347,0.0000000000,,,,
main,3,yes,None,0.8030237228,0.0000000000,,,,
main,4,yes,None,0.8044445841,0.0003811215,,,,
main,5,yes,None,0.8061719962,0.0127639725,,,,
lang,0,yes,None,,,0.0169018467,3.4964974481,3.4965065213,3.4965074281
lang,1,yes,None,,,0.9484619240,0.0000012902,1.1037514451,3.3225103509
lang,2,yes,None,,,0.9614345203,0.0000000159,0.6504164139,3.1903203120
lang,3,yes,None,,,0.9651163566,0.0000000002,0.4851285171,3.1320222099
lang,4,yes,None,,,0.9662805304,0.0000000001,0.3982813445,3.0413600477
lang,5,yes,None,,,0.9698147031,0.0000000000,0.3449602520,3.0423787823
