phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.0331205088,0.0000000000,,,,
main,1,yes,None,0.7920515422,0.0000000000,,,,
main,2,yes,None,0.8173254646,0.0000000000,,,,
main,3,yes,None,0.8224170320,0.0000000000,,,,
main,4,yes,None,0.8396627587,0.0000000000,,,,
main,5,yes,None,0.8420527273,0.0000000000,,,,
lang,0,yes,None,,,0.0000000000,0.0996535170,2.5356298267,3.3719338007
lang,1,yes,None,,,0.5407877979,0.0000000000,0.1027940512,3.4275188309
lang,2,yes,None,,,0.5602166165,0.0000000000,0.0804065760,3.3875629717
lang,3,yes,None,,,0.5703130272,0.0000000000,0.0711792083,3.3959836213
lang,4,yes,None,,,0.5849573846,0.0000000000,0.0648586783,3.4011616508
lang,5,no,None,,,0.5723620482,0.0000000000,0.0658687981,3.3910207049
