phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.0331205088,0.0000000000,,,,
main,1,yes,None,0.8645930984,0.0000000000,,,,
main,2,yes,None,0.9084981298,0.0000862441,,,,
main,3,no,None,0.9071680986,0.0000000000,,,,
main,4,no,None,0.8623928025,0.0000000000,,,,
main,5,yes,None,0.9156996143,0.0000000000,,,,
lang,0,yes,None,,,0.0000000000,3.4951154328,3.4963377233,3.4964866573
lang,1,yes,None,,,0.0043571111,0.0000009393,1.4075901926,3.2908561609
lang,2,yes,None,,,0.0050166793,0.0000020158,1.3591273336,3.3578935318
lang,3,no,None,,,0.0038014452,0.0000012077,1.4201106109,3.3226325452
lang,4,no,None,,,0.0045038052,0.0000005129,1.3903251574,3.4098565175
lang,5,no,None,,,0.0043969778,0.0000002117,1.4167568121,3.2893881354
