phase,epoch,new_best,patience_left,post_disc_lang_val_macro_f1_score,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.0000000000,0.2691083011,0.0000000000,0.0079741237,1.9704142714,3.1915772164,3.4099422848
main,1,yes,None,0.5156218249,0.7163707853,0.0108860121,0.3053297586,3.4644445900,3.4955840983,3.4963476666
main,2,yes,None,0.5183423641,0.7486029973,0.0203282420,0.5242348083,3.4398987094,3.4959626155,3.4964441227
main,3,yes,None,0.7128948207,0.7597762915,0.0223275681,0.5551427973,3.3710467705,3.4959789399,3.4964422778
main,4,yes,None,0.7119071194,0.7734814526,0.0180343762,0.6690299588,3.3873202042,3.4961241893,3.4964674250
main,5,yes,None,0.7392087610,0.7802219465,0.0170788356,0.7282220722,3.3114912429,3.4962076469,3.4964732512
lang,0,yes,None,,,,0.0039572980,3.4577750618,3.4959297567,3.4961492526
lang,1,yes,None,,,,0.0986707606,3.4440353621,3.4962432575,3.4964679837
lang,2,yes,None,,,,0.3134307243,3.3371060328,3.4957927268,3.4964579313
lang,3,yes,None,,,,0.4471822951,2.9846401104,3.4949720857,3.4964363632
lang,4,yes,None,,,,0.5099567012,2.3539194742,3.4937320352,3.4963972095
lang,5,yes,None,,,,0.5357585758,1.5525509606,3.4921521472,3.4963576093
