phase,epoch,new_best,patience_left,post_disc_lang_val_macro_f1_score,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.0000000000,0.0331205088,0.0000000000,0.0000000000,3.4563075310,3.4842266155,3.4950418670
main,1,yes,None,0.4432804573,0.8265543101,0.0012038351,0.0013323526,0.0779689538,3.2891922213,3.4758151465
main,2,no,None,0.0155037581,0.7345392838,0.0038888175,0.0112403121,1.9738114950,3.4236441494,3.4917933369
main,3,no,None,0.0055127207,0.7159647588,0.0015797032,0.0130868526,2.2184822164,3.4526336493,3.4928358074
main,4,no,None,0.0024831944,0.7044175619,0.0021795911,0.0172685677,2.2409618253,3.4687587183,3.4929062244
main,5,no,None,0.0015642272,0.7118428601,0.0013317261,0.0214277911,1.9477528509,3.4767737417,3.4943970815
lang,0,yes,None,,,,0.0000000000,3.4782284136,3.4927835882,3.4952731381
lang,1,yes,None,,,,0.0229823917,0.0000000020,0.9337304070,3.2373087728
lang,2,yes,None,,,,0.0245697685,0.0000000000,0.8276726431,3.2109767012
lang,3,yes,None,,,,0.0270339812,0.0000000011,0.8140686840,3.1135978876
lang,4,no,None,,,,0.0258516809,0.0000000001,0.8060331488,3.1792886922
lang,5,yes,None,,,,0.0316091866,0.0000000005,0.7758314341,3.1858621110
