phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.2691083011,0.0000000000,0.0079741237,3.4961983113,3.4964733841,3.4964988740
main,1,yes,None,0.7278201922,0.0383732989,0.0111531607,1.8213760958,3.3416200179,3.4846773518
main,2,yes,None,0.7554864862,0.0284156269,0.0035281834,2.7624228458,3.2842004296,3.4819542086
main,3,yes,None,0.7693362350,0.0307849093,0.0045582995,2.7408625217,3.3771870988,3.4648331461
main,4,yes,None,0.7765691381,0.0242604487,0.0047745858,2.9318473449,3.2721246437,3.4932387919
main,5,yes,None,0.7837895104,0.0237887935,0.0093380045,2.4320460510,3.3684509762,3.4944305361
lang,0,yes,None,,,0.0018940699,3.4962623529,3.4962634459,3.4965056633
lang,1,yes,None,,,0.0149013758,2.2204933790,3.2639890281,3.4952625905
lang,2,no,None,,,0.0094208409,2.2425740403,3.4086834628,3.4954472227
lang,3,yes,None,,,0.0150803175,1.4793738908,3.3370745077,3.4940693168
lang,4,no,None,,,0.0104737004,1.5418720597,3.2805220697,3.4938363318
lang,5,no,None,,,0.0089985863,1.8142931343,3.2970733853,3.4940257667
