phase,epoch,new_best,patience_left,label_label_val_macro_f1_score,label_lang_val_macro_f1_score,lang_val_macro_f1_score,lang_val_min_entropy,lang_val_mean_entropy,lang_val_max_entropy
main,0,yes,None,0.0331205088,0.0000000000,0.0000000000,3.4961133337,3.4963843153,3.4964928739
main,1,yes,None,0.8481446145,0.0142535211,0.0019445669,0.0028096471,2.7166455881,3.4658436466
main,2,yes,None,0.8545994575,0.0055916346,0.0011034301,0.0045496872,2.8028007923,3.4536897467
main,3,yes,None,0.8795506476,0.0013022391,0.0008893491,0.0334380193,3.1338662802,3.4398050128
main,4,yes,None,0.8896606328,0.0020202020,0.0017554051,0.0999859907,3.2194608539,3.4354213205
main,5,yes,None,0.8964657890,0.0028659161,0.0001543937,0.1350611375,3.2793462766,3.4233642314
lang,0,yes,None,,,0.0001621347,3.4961608182,3.4963761280,3.4964691295
lang,1,yes,None,,,0.0002079121,0.2365291445,3.2775086153,3.4160562070
lang,2,yes,None,,,0.0002143959,0.0907116937,3.2169118779,3.3957701232
lang,3,no,None,,,0.0001785558,0.0434749827,3.2388908301,3.4367478454
lang,4,yes,None,,,0.0002261920,0.0579457790,3.2829242072,3.4351350861
lang,5,yes,None,,,0.0010227561,0.0592182076,3.1917263878,3.4257027665
