exp_id,label_label_macro_f1_score
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.1",0.2381246740
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.0001",0.3570325990
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.0001",0.3673617659
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.01",0.4097848087
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.001",0.3800628036
"init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.001",0.3951193503
"init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.01",0.3834576436
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.2968289485
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.0001",0.3692733731
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.01",0.4222583212
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.1",0.2993548416
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.1",0.3967763377
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.001",0.3617146065
"init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.001",0.4086765669
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.01",0.3465663083
"init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.3496015021
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.4108980991
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.0001",0.3910395673
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.01",0.4329082350
"init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.0001",0.4002854857
