exp_id,label_label_macro_f1_score
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.001",0.6446440568
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.0001",0.6591547134
"encoder_learning_rate=1e-05,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.01",0.6724518284
"encoder_learning_rate=1e-05,init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.001",0.6631256981
"encoder_learning_rate=0.0001,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.5728966827
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.1",0.6436861464
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.01",0.6578346810
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.6644439424
"encoder_learning_rate=0.001,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.1",0.2847441627
"encoder_learning_rate=1e-06,init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.1",0.6423605096
"encoder_learning_rate=0.001,init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.01",0.2847441627
"encoder_learning_rate=0.0001,init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.2847441627
"encoder_learning_rate=0.001,init_stddev=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.2847441627
"encoder_learning_rate=0.001,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.2847441627
"encoder_learning_rate=0.001,init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.01",0.2847441627
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.0001",0.6610871562
"encoder_learning_rate=1e-05,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.001",0.6597981564
"encoder_learning_rate=0.0001,init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.1",0.2847441627
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.6659576078
"encoder_learning_rate=1e-06,init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.001",0.6655334722
