exp_id,label_label_macro_f1_score
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.1",0.4963272680
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.0001",0.5071424402
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.0001",0.4918819439
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.01",0.5089388511
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.001",0.5303967441
"init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.001",0.5178386314
"init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.01",0.5216606362
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.4850603706
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.0001",0.4917590140
"init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.01",0.5225383606
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.1",0.4917369384
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.1",0.4941190215
"init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.001",0.5354168604
"init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.001",0.5373656364
"init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.01",0.5313747179
"init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.4705748415
"init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.5364540833
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.0001",0.4662493806
"init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.01",0.5303891987
"init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.0001",0.3696528207
