exp_id,label_label_macro_f1_score
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.5331121078
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.7,minibatch_size=32,postencoder_learning_rate=0.01",0.2769655468
"encoder_learning_rate=0.0001,init_stddev=0.01,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.001",0.4408154592
"encoder_learning_rate=0.0001,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=16,postencoder_learning_rate=0.1",0.2847441627
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.5647771954
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.0001",0.5995021150
"encoder_learning_rate=1e-06,init_stddev=0.001,lang_error_weighting=0.5,minibatch_size=64,postencoder_learning_rate=0.1",0.4610770875
"encoder_learning_rate=0.001,init_stddev=0.001,lang_error_weighting=0.7,minibatch_size=16,postencoder_learning_rate=0.1",0.2847441627
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.001",0.3449983503
"encoder_learning_rate=0.001,init_stddev=0.1,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.01",0.2847441627
"encoder_learning_rate=1e-06,init_stddev=0.1,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.6240678977
"encoder_learning_rate=0.001,init_stddev=0.01,lang_error_weighting=0.5,minibatch_size=16,postencoder_learning_rate=0.1",0.2847441627
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.001",0.4933040897
"encoder_learning_rate=1e-06,init_stddev=0.1,lang_error_weighting=0.7,minibatch_size=32,postencoder_learning_rate=0.01",0.2680217765
"encoder_learning_rate=1e-05,init_stddev=0.1,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.1",0.4138260616
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=64,postencoder_learning_rate=0.01",0.5701042185
"encoder_learning_rate=0.0001,init_stddev=0.1,lang_error_weighting=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.2847441627
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.0001",0.6064969712
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.7,minibatch_size=16,postencoder_learning_rate=0.001",0.5033153690
"encoder_learning_rate=0.001,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.001",0.2847441627
