exp_id,label_label_macro_f1_score
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.5184175956
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.7,minibatch_size=32,postencoder_learning_rate=0.01",0.5931279539
"encoder_learning_rate=0.0001,init_stddev=0.01,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.001",0.1697866856
"encoder_learning_rate=0.0001,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=16,postencoder_learning_rate=0.1",0.2126248825
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.5129419363
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.0001",0.3284994882
"encoder_learning_rate=1e-06,init_stddev=0.001,lang_error_weighting=0.5,minibatch_size=64,postencoder_learning_rate=0.1",0.5591551063
"encoder_learning_rate=0.001,init_stddev=0.001,lang_error_weighting=0.7,minibatch_size=16,postencoder_learning_rate=0.1",0.0346587107
"encoder_learning_rate=1e-06,init_stddev=0.01,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.001",0.5529775373
"encoder_learning_rate=0.001,init_stddev=0.1,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.01",0.0346579148
"encoder_learning_rate=1e-06,init_stddev=0.1,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.3058976336
"encoder_learning_rate=0.001,init_stddev=0.01,lang_error_weighting=0.5,minibatch_size=16,postencoder_learning_rate=0.1",0.0346579148
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=16,postencoder_learning_rate=0.001",0.3367505409
"encoder_learning_rate=1e-06,init_stddev=0.1,lang_error_weighting=0.7,minibatch_size=32,postencoder_learning_rate=0.01",0.5881054139
"encoder_learning_rate=1e-05,init_stddev=0.1,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.1",0.5013636104
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=64,postencoder_learning_rate=0.01",0.2558579142
"encoder_learning_rate=0.0001,init_stddev=0.1,lang_error_weighting=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.1567416792
"encoder_learning_rate=1e-05,init_stddev=0.001,lang_error_weighting=0.3,minibatch_size=64,postencoder_learning_rate=0.0001",0.5331485578
"encoder_learning_rate=1e-05,init_stddev=0.01,lang_error_weighting=0.7,minibatch_size=16,postencoder_learning_rate=0.001",0.2692345217
"encoder_learning_rate=0.001,init_stddev=0.01,lang_error_weighting=0.1,minibatch_size=32,postencoder_learning_rate=0.001",0.0346579148
